Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","C311622","CP_Elec_6.3x7.7",144.000000,-83.500000,90,top
"D1","DSMALL","D_SOD-123",136.750000,-77.250000,180.000000,top
"F1","3A","Fuse_1206_3216Metric",179.500000,-95.500000,0.000000,top
"F2","3A","Fuse_1206_3216Metric",116.500000,-90.250000,180.000000,top
"F3","3A","Fuse_1206_3216Metric",174.250000,-111.500000,180.000000,top
"F4","3A","Fuse_1206_3216Metric",175.250000,-123.750000,90.000000,top
"F5","3A","Fuse_1206_3216Metric",116.750000,-75.750000,180.000000,top
"F6","3A","Fuse_1206_3216Metric",117.500000,-112.000000,90.000000,top
"F7","3A","Fuse_1206_3216Metric",138.000000,-140.500000,0.000000,top
"F8","3A","Fuse_1206_3216Metric",136.750000,-74.750000,180.000000,top
"NM2","AO3400A","SOT-23",169.500000,-103.500000,90.000000,top
"NM3","AO3400A","SOT-23",123.500000,-80.500000,270.000000,top
"NM5","AO3400A","SOT-23",123.500000,-98.500000,270.000000,top
"Q1","AO3401A","SOT-23",143.000000,-76.500000,270.000000,top
"Q2","AO3401A","SOT-23",143.000000,-140.500000,0.000000,top
"Q3","AO3401A","SOT-23",175.000000,-95.750000,0.000000,top
"Q4","AO3401A","SOT-23",174.250000,-114.750000,90.000000,top
"Q5","AO3401A","SOT-23",174.250000,-119.250000,270.000000,top
"Q6","AO3401A","SOT-23",121.500000,-90.500000,180.000000,top
"Q7","AO3401A","SOT-23",116.750000,-106.000000,270.000000,top
"Q8","AO3401A","SOT-23",122.500000,-75.750000,180.000000,top
"R1","10K","R_0805_2012Metric",169.500000,-100.000000,0.000000,top
"R2","10K","R_0805_2012Metric",123.500000,-84.000000,180.000000,top
"R3","10K","R_0805_2012Metric",123.500000,-102.000000,180.000000,top
"R4","330","R_0805_2012Metric",169.500000,-97.500000,180.000000,top
"R5","330","R_0805_2012Metric",123.500000,-105.000000,0.000000,top
"R6","330","R_0805_2012Metric",123.500000,-86.500000,0.000000,top
"R7","1K","R_0805_2012Metric",129.250000,-100.750000,90.000000,top
